Index,Text,Link
0,PM invites youth to take part in the G20 University Connect Finale,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960207 
1,"Shri Jyotiraditya M Scindia inaugurates new infrastructure at Tezu Airport, Arunachal Pradesh",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960192 
2,India’s First Lighthouse Festival opens in Goa; spotlight on 75 historical sites to be developed as major Tourist Destinations,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960187 
3,"Department of Public Enterprises (DPE) to organise ‘CPSEs Roundtable and Exhibition 2023’ on 25th-26th September, 2023, in New Delhi",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960147 
4,Chief of Defence Staff visits Karwar Naval Base & aircraft carrier INS Vikramaditya,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960146 
5,Arogya Manthan 2023 to mark 5 years of Ayushman Bharat PM-JAY and 2 years of Ayushman Bharat Digital Mission,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960140 
6,"“EXERCISE YUDH ABHYAS-23” SET TO COMMENCE IN FORT WAINWRIGHT, ALASKA, USA – INDIAN CONTINGENT DEPARTS",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960137 
7,"J&K’s first state of art Tata Memorial Centre Mumbai affiliated Cancer Care facility launched by Dr Jitendra Singh at GMC Kathua; Says, Affordable, Accessible healthcare is the roadmap for ‘Healthy India’ under PM Narendra Modi",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960134 
8,Text of PM’s address while flagging off nine Vande Bharat Express trains via video conferencing,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960114 
9,PM flags off nine Vande Bharat Express trains,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960095 
10,Ek Tareekh Ek Ghanta Ek Saath ,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960088 
11,"VISIT OF ADM R HARI KUMAR, CHIEF OF THE NAVAL STAFF, TO USA",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960082 
12,"Union Home Minister and Minister of Cooperation Shri Amit Shah will chair the 31st meeting of the Northern Zonal Council in Amritsar on Tuesday, 26thSeptember 2023",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960074 
13,"India Smart Cities Conclave 2023 to be held in Indore on 26-27th September, 2023",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960068 
14,English rendering of PM’s address in the 105th Episode of ‘Mann Ki Baat’ on 24.09.2023,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960066 
15,"Facility for preservation & transportation of mortal remains of BRO personnel, killed on duty, to their native place extended to Casual Paid Labourers; Raksha Mantri Shri Rajnath Singh approves proposal",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960039 
16,Prime Minister salutes Nari Shakti,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960030 
17,"Union Home Minister and Minister of Cooperation Shri Amit Shah delivers address at the prestigious Laxmanrao Inamdar Memorial lecture, organized by Mumbai University and Sahkar Bharati in Maharashtra, today",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960023 
18,PM shares glimpses of his interaction with ground level G20 functionaries ,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1960004 
19,"India is a role model for the world for its integrated in Preventive Healthcare, credits PM Modi for making India a world leader in preventive healthcare with first ever DNA vaccine for Covid: Dr. Jitendra Singh",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1959985 
20,Nine Vande Bharat Express trains flagged off to boost connectivity across 11 States,https://newsonair.gov.in/Main-News-Details.aspx?id=468254 
21,2nd ODI: India set a target of 400 runs for Australia in Indore,https://newsonair.gov.in/Main-News-Details.aspx?id=468259 
22,Asian Games: India bags five medals; two silver and one bronze in Rowing; One silver and one bronze in Shooting,https://newsonair.gov.in/Main-News-Details.aspx?id=468275 
23,PM Modi urges people to buy Khadi products on Gandhi Jayanti; Reminds mantra of Vocal for Local for festive season shopping,https://newsonair.gov.in/Main-News-Details.aspx?id=468283 
24,Mann Ki Baat: PM Modi says India proves its leadership by making African Union a full member of G20 forum,https://newsonair.gov.in/Main-News-Details.aspx?id=468255 
25,Asian Games: India clinches two silver; Women's trio in 10m air rifle and Men's double Rowing team secure medals,https://newsonair.gov.in/Main-News-Details.aspx?id=468258 
26,"Heavy rainfall likely to continue over Bihar, Jharkhand, Sub-Himalayan West Bengal and Sikkim",https://newsonair.gov.in/Main-News-Details.aspx?id=468257 
27,Union Cooperation Minister Amit Shah says every Panchayat to have a Primary Agricultural Credit Society; three lakh Societies to be formed in next five years,https://newsonair.gov.in/Main-News-Details.aspx?id=468256 
28,Prime Minister Narendra Modi to share his thoughts in the 'Mann Ki Baat' programme on Akashvani at 11 AM ,https://newsonair.gov.in/Main-News-Details.aspx?id=468218 
29,"19TH Asian Games, 2023 begins in Hangzhou, China in a colorful ceremony",https://newsonair.gov.in/Main-News-Details.aspx?id=468238 
30,One Nation One Election Committee decides to seek suggestions from National and State Political parties and the Law Commission on holding simultaneous polls,https://newsonair.gov.in/Main-News-Details.aspx?id=468234 
31,NIA confiscates properties of Canada-based ‘designated individual terrorist’ Gurpatwant Singh Pannu in Punjab,https://newsonair.gov.in/Main-News-Details.aspx?id=468228 
32,PM Modi flags off 9 new Vande Bharat Trains; connecting eleven states,https://ddnews.gov.in/national/pm-modi-flags-9-new-vande-bharat-trains-connecting-eleven-states 
33,Institute of Chartered Accountant of India Dubai Chapter Event Celebrates Entrepreneurial Journeys from Bits to Billion,https://ddnews.gov.in/international/institute-chartered-accountant-india-dubai-chapter-event-celebrates-entrepreneurial 
34,"""We walk the talk"" when it comes to South-South cooperation, EAM Jaishankar affirms",https://ddnews.gov.in/international/we-walk-talk-when-it-comes-south-south-cooperation-eam-jaishankar-affirms 
35,Sri Lanka’s PM Dinesh Gunawardena applauds India’s continuous progress ,https://ddnews.gov.in/international/sri-lanka%E2%80%99s-pm-dinesh-gunawardena-applauds-india%E2%80%99s-continuous-progress 
